playerid,PlayerName,ADP,Team,ShortName,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,HBP
sa3020599,Brody McCullough,999.0,CHC,Cubs,0.1754,0.1754,0.0,0.0,,1.0,4.523,1.0898,0.6536,0.61416,0.172556,0.7161,0.4811,0.0432
sa3005213,Justin Bullock,999.0,MIL,Brewers,0.1754,0.1754,0.0,0.0,,1.0,4.437,1.1068,0.639,0.60156,0.196222,0.6751,0.3526,0.0419
sa3008523,Zach Haake,999.0,,,0.1696,0.2026,0.0,0.0,,1.0,4.489,1.1028,0.6484,0.61021,0.181889,0.6826,0.4166,0.0466
sa3007734,Daniel Martinez,999.0,ATL,Braves,0.1686,0.2076,0.0,0.0,,1.0,4.525,1.1196,0.6634,0.62526,0.184556,0.717,0.4193,0.0556
sa3006836,Tyler Joyner,999.0,,,0.1754,0.1754,0.0,0.0,,1.0,4.494,1.1247,0.6586,0.6206,0.185333,0.6762,0.4028,0.0434
sa3009851,Wander Guante,999.0,OAK,Athletics,0.1628,0.2348,0.0,0.0,,1.0,4.515,1.1006,0.6469,0.60684,0.164444,0.6356,0.4623,0.0475
sa3018005,Christian MacLeod,999.0,MIN,Twins,0.1732,0.1862,0.0,0.0,,1.0,4.59,1.1052,0.651,0.60942,0.153,0.6572,0.5258,0.0493
sa3004661,Shawn Semple,999.0,,,0.156,0.267,0.0,0.0,,1.0,4.47,1.1667,0.6548,0.61464,0.182333,0.565,0.3452,0.0415
sa3020889,Marcelo Perez,999.0,SEA,Mariners,0.1754,0.1754,0.0,0.0,,1.0,4.507,1.0963,0.6385,0.59867,0.176444,0.6717,0.4409,0.0426
sa3018172,Jordan Jackson,999.0,SEA,Mariners,0.1723,0.1903,0.0,0.0,,1.0,4.522,1.1296,0.6387,0.59545,0.163222,0.5812,0.4356,0.0452
sa915852,Jake Walters,999.0,MIA,Marlins,0.1316,0.3816,0.0,0.0,,1.0,4.559,1.099,0.6581,0.61815,0.164333,0.6861,0.478,0.0682
