playerid,PlayerName,minpos,ADP,Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS
18839,Josh Naylor,1B/OF,129.10000610351562,CLE,Guardians,133,519,574,147,92,32,1,23,73,85,44,7,87,5,4,1,8,3
29617,Henry Davis,OF,238.2899932861328,PIT,Pirates,120,416,483,102,64,21,2,15,55,55,52,3,113,9,3,2,9,4
22275,Jake Burger,3B,160.5800018310547,MIA,Marlins,141,554,609,138,80,28,2,28,74,87,40,1,165,9,4,2,2,1
18900,Leody Taveras,OF,261.3900146484375,TEX,Rangers,136,532,588,138,89,29,3,17,70,69,43,1,130,4,5,4,17,6
24770,James Outman,OF,192.4499969482422,LAD,Dodgers,120,448,518,103,62,19,3,19,62,63,56,1,163,8,4,2,9,4
14551,Anthony Santander,OF,144.67999267578125,BAL,Orioles,149,577,644,145,84,31,1,29,81,92,52,1,142,8,5,1,3,2
19522,TJ Friedl,OF,149.38999938964844,CIN,Reds,134,509,581,130,83,22,6,18,81,62,53,1,103,10,4,5,21,7
9874,DJ LeMahieu,2B,369.8999938964844,NYY,Yankees,136,512,588,131,93,22,2,14,76,57,63,1,111,5,4,5,5,2
20126,Dylan Carlson,OF,584.2899780273438,STL,Cardinals,99,371,427,96,60,22,2,12,53,49,43,0,82,7,3,3,5,2
22244,Jack Suwinski,OF,248.1300048828125,PIT,Pirates,113,418,490,94,52,19,1,23,62,65,62,1,149,5,4,2,8,4
29622,Sal Frelick,OF,286.54998779296875,MIL,Brewers,133,506,574,134,93,27,3,11,64,64,56,1,85,6,4,1,12,5
16535,Danny Jansen,C,250.2899932861328,TOR,Blue Jays,109,391,442,92,51,19,1,22,56,64,39,1,90,8,3,1,1,1
20529,Nolan Jones,OF,58.2599983215332,COL,Rockies,139,521,602,138,83,28,4,23,78,80,70,2,172,5,5,1,16,6
24679,Brendan Donovan,2B/OF,286.260009765625,STL,Cardinals,118,439,511,122,87,22,2,12,70,50,55,2,78,10,3,4,7,3
19470,Tommy Edman,2B,159.97000122070312,STL,Cardinals,130,507,560,134,90,28,3,13,69,62,39,1,92,6,4,5,27,7
23565,Davis Schneider,2B,416.9700012207031,TOR,Blue Jays,99,362,427,84,48,19,1,16,51,50,55,0,114,5,3,2,5,2
18036,Jake Cronenworth,1B/2B,352.2900085449219,SDP,Padres,143,541,616,135,86,29,5,15,70,68,57,2,113,11,5,2,5,2
14221,Jorge Soler,DH/OF,158.74000549316406,,,144,540,623,132,72,26,1,33,88,88,69,3,157,6,4,3,2,1
16472,Rhys Hoskins,1B,203.38999938964844,,,147,551,637,133,73,29,2,29,88,82,71,0,160,6,5,4,4,2
19955,Gavin Lux,2B,255.67999267578125,LAD,Dodgers,107,406,462,108,73,20,4,11,59,53,46,0,91,3,4,4,9,3
22217,Luis Campusano,C,193.94000244140625,SDP,Padres,121,448,494,119,78,21,1,18,56,61,35,0,88,5,3,2,2,1
19599,Chas McCormick,OF,171.5500030517578,HOU,Astros,123,467,532,114,75,18,2,20,64,66,52,0,142,7,4,3,13,5
16725,Jose Trevino,C,570.3499755859375,NYY,Yankees,76,279,301,68,46,13,1,8,32,34,14,0,53,2,2,2,2,1
16622,Luis Urías,2B/3B/SS,485.80999755859375,SEA,Mariners,110,408,476,94,60,19,1,14,53,52,51,0,106,10,4,3,3,1
27815,Jordan Westburg,2B/3B,306.4200134277344,BAL,Orioles,97,374,420,95,59,21,2,13,51,49,35,0,99,5,3,3,6,2
26517,Noelvi Marte,3B,171.61000061035156,CIN,Reds,122,470,525,126,84,25,2,15,60,63,44,1,108,5,4,3,13,5
13066,Teoscar Hernández,OF,149.1300048828125,LAD,Dodgers,141,558,609,144,86,27,1,30,77,92,38,1,175,6,4,2,7,3
26668,Elly De La Cruz,3B/SS,22.579999923706055,CIN,Reds,130,504,560,124,73,24,5,21,69,71,46,2,169,4,4,2,31,11
31837,Masataka Yoshida,DH/OF,182.2899932861328,BOS,Red Sox,131,503,567,147,98,29,2,17,73,75,51,3,72,7,4,2,5,2
16219,J.D. Davis,3B,425.8999938964844,SFG,Giants,123,464,532,114,73,23,1,16,59,60,55,1,156,7,4,2,2,1
27465,Spencer Torkelson,1B,124.41999816894531,DET,Tigers,152,573,658,139,78,30,1,30,83,90,72,1,152,7,5,1,3,1
18373,Ryan Mountcastle,1B,240.7100067138672,BAL,Orioles,133,517,574,135,84,25,1,25,70,79,46,1,140,5,4,2,4,2
26197,Andrew Vaughn,1B/OF,235.2899932861328,CHW,White Sox,147,575,637,151,93,31,2,25,80,80,45,0,126,10,5,3,1,0
19363,Austin Hays,OF,308.05999755859375,BAL,Orioles,134,529,581,135,84,31,2,19,67,72,38,1,130,7,4,2,5,2
24618,Ryan Jeffers,C,249.89999389648438,MIN,Twins,91,317,363,74,43,14,1,15,44,46,35,1,100,5,3,3,3,1
22799,Geraldo Perdomo,SS,428.1000061035156,ARI,Diamondbacks,110,406,476,98,69,19,3,7,53,44,57,1,84,5,4,4,12,5
15161,Mitch Garver,C/DH,186.7100067138672,SEA,Mariners,123,453,522,106,62,19,1,24,64,71,58,1,137,6,4,1,2,1
27479,Masyn Winn,SS,367.05999755859375,STL,Cardinals,130,505,560,125,86,23,4,13,65,60,42,0,105,4,4,5,13,4
15711,Tyler O'Neill,OF,230.38999938964844,BOS,Red Sox,126,481,546,119,71,24,1,22,67,70,52,0,151,7,4,2,13,4
22715,Maikel Garcia,3B,216.5800018310547,KCR,Royals,125,483,539,130,93,27,3,7,62,50,45,1,108,3,4,4,21,7
23800,Parker Meadows,OF,283.739990234375,DET,Tigers,126,483,546,113,72,22,6,14,68,50,50,1,127,4,3,5,13,4
12564,Trevor Story,SS,178.10000610351562,BOS,Red Sox,146,565,630,132,77,32,2,21,74,79,52,2,179,8,4,1,22,7
27562,Austin Wells,C,302.6499938964844,NYY,Yankees,81,284,321,66,39,14,0,12,40,40,28,1,77,4,2,3,4,1
11899,Joc Pederson,OF,461.1300048828125,,,117,438,504,111,67,19,3,23,67,69,53,5,114,8,4,2,2,1
19859,René Pinto,C,398.32000732421875,TBR,Rays,109,396,429,90,53,20,1,16,48,51,22,0,131,4,3,3,3,1
26123,Brett Baty,3B,355.4200134277344,NYM,Mets,104,397,448,99,64,18,1,16,52,55,40,0,115,4,4,3,3,1
14854,Mike Yastrzemski,OF,492.9700012207031,SFG,Giants,120,450,518,105,60,26,2,18,60,62,56,2,135,6,4,3,4,2
18030,Harrison Bader,OF,390.9700012207031,NYM,Mets,104,408,448,100,66,19,2,13,52,51,28,0,90,5,3,3,19,6
12552,Eugenio Suárez,3B,274.1000061035156,ARI,Diamondbacks,146,548,630,127,77,25,1,23,74,78,66,0,185,9,5,2,2,1
27534,Edouard Julien,2B/DH,212.94000244140625,MIN,Twins,118,424,511,101,64,21,1,15,69,48,75,1,150,5,3,5,6,2
20202,Brandon Marsh,OF,329.1000061035156,PHI,Phillies,128,483,553,119,77,24,4,14,64,60,57,2,168,5,4,4,11,4
17452,Jose Siri,OF,282.6099853515625,TBR,Rays,120,474,518,105,61,20,3,21,58,65,32,0,175,5,4,3,17,6
24729,Logan O'Hoppe,C,158.4199981689453,LAA,Angels,107,376,426,94,57,16,1,21,53,59,39,0,88,6,3,2,3,1
19452,Jake Rogers,C,325.6099853515625,DET,Tigers,87,311,346,66,38,12,1,15,39,42,27,0,109,3,3,3,3,1
20391,Luis García,2B,379.45001220703125,WSN,Nationals,113,453,490,126,85,25,3,13,54,55,29,1,70,2,3,2,8,3
27475,Jordan Walker,OF,124.0,STL,Cardinals,131,505,567,135,87,26,2,20,68,73,47,0,127,7,4,3,9,4
17027,Alex Verdugo,OF,303.6099853515625,NYY,Yankees,115,450,497,120,81,24,2,13,59,57,38,1,77,4,3,2,5,2
17907,Brendan Rodgers,2B,359.4200134277344,COL,Rockies,134,528,581,145,96,31,3,16,66,69,40,0,109,6,4,2,1,1
13185,Orlando Arcia,SS,332.32000732421875,ATL,Braves,134,520,581,130,86,25,1,19,72,71,48,0,113,5,5,5,3,1
10324,Marcell Ozuna,OF,162.25999450683594,ATL,Braves,143,551,616,141,81,26,1,32,83,95,54,1,144,4,5,2,2,1
19610,Keibert Ruiz,C,168.19000244140625,WSN,Nationals,131,480,526,130,85,26,1,18,60,67,35,1,57,6,4,1,3,1
33189,Nolan Schanuel,1B,427.0,LAA,Angels,113,412,490,106,73,19,2,13,59,53,64,1,84,6,4,4,2,1
11445,Mark Canha,OF,423.5199890136719,DET,Tigers,125,463,539,119,80,24,1,14,62,60,53,1,95,17,4,2,7,3
21897,Christopher Morel,DH/OF,207.38999938964844,CHC,Cubs,128,494,553,120,67,23,3,27,69,75,48,0,162,4,4,3,11,4
15172,Tim Anderson,SS,341.260009765625,,,133,533,574,149,112,26,2,9,69,51,28,1,120,5,4,5,15,4
5827,Wilmer Flores,1B/2B,329.32000732421875,SFG,Giants,120,460,518,121,76,24,1,20,64,70,47,1,80,6,4,1,1,0
sa3022654,Wyatt Langford,OF,164.77000427246094,TEX,Rangers,94,351,406,92,56,19,2,16,54,52,45,0,94,4,3,3,9,4
14968,Victor Caratini,C,558.5800170898438,HOU,Astros,65,227,257,56,38,10,1,8,30,30,23,1,55,4,2,2,2,1
22186,Brice Turang,2B,325.5799865722656,MIL,Brewers,126,483,546,119,84,21,3,11,61,55,51,1,106,3,4,4,22,6
21538,Nick Fortes,C,507.260009765625,MIA,Marlins,86,305,339,73,49,14,1,10,38,37,24,0,62,6,3,3,6,2
18126,LaMonte Wade Jr.,1B/OF,375.67999267578125,SFG,Giants,123,451,532,110,70,20,2,18,67,62,68,3,107,7,4,2,3,1
sa3015704,Jackson Chourio,OF,151.94000244140625,MIL,Brewers,128,508,553,129,84,25,2,18,59,65,35,1,123,4,4,2,17,7
15112,Ryan McMahon,2B/3B,226.64999389648438,COL,Rockies,136,516,588,126,77,25,2,21,71,73,62,1,168,4,5,2,7,3
sa3014474,Colt Keith,2B/3B,999.0,DET,Tigers,94,364,406,95,60,21,2,12,47,47,33,1,89,3,3,3,2,1
3473,Anthony Rizzo,1B,277.3500061035156,NYY,Yankees,128,480,553,116,72,20,1,24,71,78,52,2,116,16,4,1,5,2
21523,Jonathan India,2B,233.47999572753906,CIN,Reds,100,375,434,96,62,20,1,14,55,51,42,0,91,11,3,2,8,3
12037,Jon Berti,3B,431.1300048828125,MIA,Marlins,107,409,462,105,76,19,3,7,52,44,41,1,94,4,4,4,23,7
26466,Matt Wallner,OF,318.260009765625,MIN,Twins,110,407,476,96,55,22,2,18,56,58,52,3,156,10,4,3,3,1
21780,Esteury Ruiz,OF,127.2300033569336,OAK,Athletics,117,452,504,112,77,25,2,9,56,47,33,1,103,12,4,3,49,14
22197,MJ Melendez,C/OF,291.3500061035156,KCR,Royals,134,503,581,121,70,26,3,22,77,65,67,1,147,3,4,4,7,3
17901,Andrew Benintendi,OF,373.2900085449219,CHW,White Sox,139,535,602,144,103,28,2,11,73,53,55,3,96,4,4,5,11,4
