ID,Player,Position,Status,Age,ADP,IDFANGRAPHS
*04390*,Brailyn Marquez,SP,W (Mon),22,1120,21896
*041qm*,Shaun Anderson,RP,W (Mon),27,1142,19453
*03qxt*,Danny Mendick,"2B,SS",W (Mon),28,1150,18889
*03qk3*,Luke Williams,OF,W (Mon),25,1186,19931
*0351m*,Miguel Castro,RP,Scavenge,27,-,15684
*0313t*,Tyler Kinley,RP,FA,30,-,18297
*03ann*,Jeff Hoffman,"SP,RP",FA,29,-,17432
*021hr*,Jose Alvarez,RP,FA,32,-,5358
*02i45*,Jose Ruiz,RP,FA,27,-,14552
*03qjz*,Taylor Clarke,RP,W (Sat),28,-,17611
*01cgs*,Jhoulys Chacin,RP,W (Sun),34,-,2608
*03ql5*,Ryan Helsley,RP,FA,27,-,18138
*02jhl*,Rafael Montero,RP,FA,31,-,12760
*02nho*,T.J. McFarland,RP,W (Thu),32,-,3237
*04el1*,Brandon Bielak,RP,W (Tue),25,-,19866
*03mlu*,Guillermo Heredia,OF,FA,30,-,18721
*046yd*,Dennis Santana,RP,FA,25,-,17878
*03ywk*,Darwinzon Hernandez,RP,FA,25,-,19848
*05rbx*,Hirokazu Sawamura,RP,sfernand,33,-,27515
*031ez*,Paul Fry,RP,W (Mon),29,-,15832
*02myl*,Austin Dean,OF,W (Mon),28,-,18288
*0524m*,Brett de Geus,RP,W (Tue),24,-,23592
*03xmd*,John Brebbia,RP,W (Mon),31,-,12777
*01sdu*,Pedro Baez,RP,FA,33,-,5420
*02n0s*,Corey Oswalt,RP,FA,28,-,13677
*04km8*,Andres Machado,RP,FA,28,-,14681
*025ko*,Justin Wilson,RP,FA,34,-,4301
*031k3*,Trent Thornton,RP,W (Mon),28,-,17948
*03poo*,Peter Lambert,SP,W (Mon),24,-,17969
*03d7a*,Sean Reid-Foley,RP,W (Mon),26,-,17034
*0310h*,Travis Demeritte,OF,W (Tue),27,-,15958
*03qn0*,Garrett Stubbs,C,W (Mon),28,-,18067
*041sr*,Bryan Garcia,RP,FA,26,-,19457
*03qqd*,Seby Zavala,C,W (Mon),28,-,18887
*02n2v*,Anthony Banda,RP,FA,28,-,14706
*041yb*,Dean Kremer,SP,W (Mon),26,-,19350
*03d6p*,Grant Holmes,SP,W (Mon),25,-,sa828669
*04lo8*,Jose Rojas,OF,FA,28,-,19331
