"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Akil Baddoo","DET","138","557","491","115","23","6","17","71","57","57","149","4","17","4","",".234",".317",".409",".726",".314","98","","1.5","","155.6","22168"
"Kyle Higashioka","NYY","64","232","212","44","9","0","10","24","29","17","63","2","0","0","",".206",".267",".398",".664",".284","79","","1.5","","573.9","5517"
"Wil Myers","SDP","138","527","467","114","23","2","21","69","64","54","147","3","11","3","",".244",".324",".433",".757",".326","107","","1.5","","286.9","10047"
"Brandon Marsh","LAA","118","465","416","100","21","2","11","54","45","43","142","3","8","2","",".240",".314",".379",".693",".302","90","","1.5","","400.5","20202"
"James McCann","NYM","109","410","371","87","14","1","12","46","45","31","113","5","3","1","",".234",".299",".374",".673",".294","88","","1.5","","341.7","12859"
"Gio Urshela","NYY","120","480","444","112","20","1","14","53","53","28","103","4","1","0","",".253",".302",".399",".701",".302","91","","1.5","","297.3","10681"
"Lorenzo Cain","MIL","104","420","376","100","18","2","7","52","40","37","73","4","13","3","",".267",".337",".384",".721",".316","95","","1.5","","398.7","9077"
"Nelson Cruz","","121","533","485","125","23","1","30","69","82","35","127","9","2","1","",".257",".316",".495",".811",".341","115","","1.5","","176.9","2434"
"Trey Mancini","BAL","145","622","556","147","27","2","22","76","75","54","139","8","1","0","",".264",".335",".441",".776",".334","110","","1.5","","200.4","15149"
"Elias Díaz","COL","104","382","348","91","18","1","14","46","50","28","67","3","0","0","",".262",".320",".442",".761",".326","90","","1.5","","235.6","11680"
"Kevin Kiermaier","TBR","113","421","378","86","16","5","7","49","36","35","105","5","11","4","",".228",".300",".353",".654",".286","85","","1.4","","577.9","11038"
"Kyle Farmer","CIN","122","438","404","102","21","1","14","51","52","22","86","9","3","1","",".254",".305",".417",".722",".310","88","","1.4","","502.0","14813"
"Tom Murphy","SEA","76","278","248","52","10","1","12","31","35","25","89","3","1","0","",".208",".286",".399",".685",".296","91","","1.4","","511.1","13499"
"Tucker Barnhart","DET","110","391","347","76","15","1","8","37","38","36","94","4","0","0","",".220",".299",".342",".640",".282","76","","1.4","","420.8","10200"
"Tommy La Stella","SFG","107","420","372","96","20","2","9","48","45","38","47","3","1","0","",".258",".331",".397",".728",".317","100","","1.4","","541.5","12371"
"Jonathan Villar","","111","448","400","98","16","2","14","59","45","40","118","3","18","6","",".246",".318",".397",".714",".310","94","","1.4","","280.0","10071"
"Nicky Lopez","KCR","137","542","488","126","21","4","3","58","40","43","76","4","12","4","",".257",".320",".333",".654",".290","80","","1.4","","249.5","19339"
"Wilmer Flores","SFG","111","412","370","99","19","1","16","50","54","33","57","4","1","0","",".267",".330",".453",".783",".335","112","","1.4","","423.6","5827"
